Edad / Año,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
78,"9,796 ","10,348 ","10,942 ","11,568 ","12,285 ","13,110 ","13,926 ","14,739 ","15,567 ","16,426 ","17,292 ","18,188 ","19,102 ","19,950 ","20,784 ","21,604 ","22,362 ","23,137 ","23,907 ","24,712 ","25,637 ","26,777 ","28,191 ","29,805 ","31,671 ","33,740 ","35,830 ","37,944 ","39,988 ","41,774 ","43,269 ","44,566 ","45,803 ","46,991 ","48,153 ","49,350 ","50,596 ","51,830 ","52,913 ","53,877 ","54,893 ","55,973 ","57,160 ","58,538 ","60,188 ","62,087 ","64,213 ","66,617 ","69,287 ","72,121 ","75,108 ","78,214 ","81,294 ","84,275 ","87,269 ","90,720 ","94,257 ","97,856 ","101,534 ","104,759 ","107,948 ","111,411 ","115,039 ","118,804 ","122,815 ","127,102 ","131,676 ","136,947 ","142,802 ","148,675 ","154,294 ","152,237 ","150,588 ","149,967 ","148,358 ","149,229 ","149,956 ","150,454 ","151,032 ","152,790 ","157,007 ","162,245 ","169,720 ","177,003 ","182,864 ","189,275 ","195,863 ","202,835 ","210,673 ","217,253 ","224,216 ","230,548 ","238,314 ","245,268 ","251,278 ","258,016 ","264,624 ","270,284 ","276,992 ","282,819 ","287,815 ","291,268 ","293,834 ","294,815 ","293,705 ","291,884 ","291,182 ","292,879 ","296,956 ","302,964 ","312,107 ","324,105 ","337,438 ","350,896 ","363,335 ","374,930 ","385,726 ","396,468 ","408,421 ","420,946 ","431,528 "
79,"8,286 ","8,757 ","9,271 ","9,817 ","10,445 ","11,179 ","11,918 ","12,661 ","13,420 ","14,212 ","15,009 ","15,829 ","16,677 ","17,483 ","18,292 ","19,091 ","19,824 ","20,559 ","21,266 ","21,964 ","22,725 ","23,644 ","24,794 ","26,100 ","27,638 ","29,409 ","31,271 ","33,253 ","35,269 ","37,122 ","38,738 ","40,137 ","41,406 ","42,555 ","43,639 ","44,735 ","45,891 ","47,082 ","48,179 ","49,178 ","50,180 ","51,195 ","52,233 ","53,360 ","54,658 ","56,164 ","57,889 ","59,893 ","62,197 ","64,730 ","67,484 ","70,404 ","73,316 ","76,152 ","78,963 ","81,770 ","85,054 ","88,439 ","91,755 ","95,180 ","98,481 ","101,867 ","105,264 ","108,706 ","112,240 ","115,976 ","120,026 ","124,720 ","130,006 ","135,500 ","141,096 ","138,767 ","136,421 ","135,962 ","134,768 ","135,532 ","136,219 ","136,700 ","137,351 ","138,096 ","140,223 ","143,820 ","149,435 ","156,010 ","162,447 ","168,649 ","174,322 ","180,255 ","187,483 ","193,821 ","200,622 ","206,589 ","214,109 ","221,364 ","227,709 ","234,083 ","240,165 ","245,634 ","252,184 ","257,936 ","263,257 ","267,474 ","271,280 ","273,944 ","274,632 ","273,663 ","272,123 ","271,853 ","273,483 ","276,704 ","282,791 ","291,958 ","303,339 ","315,959 ","328,643 ","340,390 ","350,821 ","360,829 ","371,303 ","382,945 ","394,965 "
80,"6,945 ","7,344 ","7,779 ","8,247 ","8,793 ","9,433 ","10,085 ","10,753 ","11,442 ","12,163 ","12,891 ","13,641 ","14,412 ","15,154 ","15,917 ","16,686 ","17,396 ","18,101 ","18,768 ","19,405 ","20,066 ","20,822 ","21,760 ","22,817 ","24,059 ","25,516 ","27,090 ","28,849 ","30,723 ","32,544 ","34,212 ","35,710 ","37,061 ","38,234 ","39,275 ","40,287 ","41,343 ","42,442 ","43,497 ","44,503 ","45,529 ","46,527 ","47,491 ","48,467 ","49,523 ","50,700 ","52,048 ","53,668 ","55,588 ","57,770 ","60,225 ","62,903 ","65,628 ","68,290 ","70,950 ","73,570 ","76,226 ","79,352 ","82,454 ","85,520 ","88,988 ","92,461 ","95,778 ","98,991 ","102,210 ","105,478 ","109,000 ","113,186 ","117,901 ","122,829 ","128,047 ","125,857 ","123,295 ","122,194 ","121,163 ","122,231 ","122,811 ","123,254 ","123,888 ","124,689 ","125,857 ","127,539 ","131,572 ","136,417 ","142,186 ","148,825 ","154,287 ","159,350 ","165,546 ","171,328 ","177,847 ","183,653 ","190,718 ","197,715 ","204,297 ","210,925 ","216,634 ","221,589 ","227,891 ","233,464 ","238,679 ","243,170 ","247,645 ","251,429 ","253,661 ","254,352 ","253,608 ","252,539 ","252,336 ","253,273 ","256,761 ","263,011 ","271,694 ","282,408 ","294,232 ","306,124 ","316,636 ","326,242 ","335,978 ","346,167 ","357,305 "
81,"5,763 ","6,098 ","6,464 ","6,858 ","7,323 ","7,876 ","8,439 ","9,025 ","9,640 ","10,289 ","10,946 ","11,626 ","12,325 ","12,994 ","13,692 ","14,411 ","15,089 ","15,767 ","16,403 ","17,001 ","17,602 ","18,258 ","19,037 ","19,891 ","20,894 ","22,062 ","23,346 ","24,827 ","26,484 ","28,161 ","29,792 ","31,324 ","32,755 ","33,988 ","35,047 ","36,016 ","36,983 ","37,978 ","38,942 ","39,905 ","40,930 ","41,937 ","42,882 ","43,784 ","44,694 ","45,634 ","46,673 ","47,934 ","49,486 ","51,305 ","53,416 ","55,800 ","58,292 ","60,760 ","63,238 ","65,697 ","68,155 ","70,680 ","73,523 ","76,370 ","79,482 ","83,095 ","86,485 ","89,604 ","92,591 ","95,551 ","98,622 ","102,303 ","106,514 ","110,874 ","115,542 ","113,214 ","110,808 ","109,485 ","107,922 ","109,042 ","109,879 ","110,229 ","110,824 ","111,591 ","112,788 ","113,588 ","115,826 ","119,217 ","123,387 ","129,332 ","135,159 ","140,009 ","145,337 ","150,178 ","156,124 ","161,672 ","168,451 ","175,003 ","181,303 ","188,078 ","193,985 ","198,579 ","204,323 ","209,647 ","214,654 ","219,026 ","223,703 ","228,058 ","231,297 ","233,397 ","234,180 ","233,830 ","232,895 ","232,148 ","233,518 ","237,314 ","243,246 ","251,379 ","261,355 ","272,362 ","282,951 ","292,566 ","301,869 ","311,304 ","321,030 "
82,"4,729 ","5,010 ","5,315 ","5,643 ","6,033 ","6,502 ","6,984 ","7,486 ","8,020 ","8,594 ","9,180 ","9,789 ","10,418 ","11,019 ","11,644 ","12,296 ","12,926 ","13,568 ","14,174 ","14,741 ","15,303 ","15,896 ","16,574 ","17,276 ","18,086 ","19,025 ","20,045 ","21,246 ","22,634 ","24,101 ","25,592 ","27,079 ","28,525 ","29,825 ","30,928 ","31,905 ","32,816 ","33,724 ","34,589 ","35,467 ","36,440 ","37,436 ","38,381 ","39,256 ","40,091 ","40,891 ","41,705 ","42,674 ","43,891 ","45,360 ","47,118 ","49,168 ","51,372 ","53,607 ","55,891 ","58,164 ","60,454 ","62,778 ","65,045 ","67,635 ","70,523 ","73,784 ","77,283 ","80,459 ","83,340 ","86,075 ","88,850 ","92,089 ","95,802 ","99,668 ","103,781 ","101,194 ","98,705 ","97,484 ","95,777 ","96,306 ","97,181 ","97,773 ","98,284 ","98,995 ","100,120 ","100,955 ","102,351 ","104,111 ","106,954 ","111,368 ","116,536 ","121,686 ","126,745 ","130,816 ","135,836 ","140,855 ","147,264 ","153,509 ","159,361 ","165,803 ","171,798 ","176,566 ","181,890 ","186,688 ","191,425 ","195,583 ","200,093 ","204,580 ","208,318 ","211,312 ","213,376 ","214,397 ","214,126 ","212,726 ","212,567 ","214,374 ","218,010 ","223,544 ","231,071 ","240,293 ","250,001 ","259,625 ","268,871 ","277,831 ","286,799 "
83,"3,832 ","4,067 ","4,321 ","4,591 ","4,915 ","5,306 ","5,710 ","6,135 ","6,590 ","7,085 ","7,598 ","8,136 ","8,694 ","9,230 ","9,787 ","10,366 ","10,932 ","11,524 ","12,093 ","12,630 ","13,160 ","13,707 ","14,318 ","14,924 ","15,589 ","16,347 ","17,153 ","18,104 ","19,218 ","20,438 ","21,729 ","23,080 ","24,467 ","25,770 ","26,919 ","27,929 ","28,839 ","29,689 ","30,469 ","31,256 ","32,137 ","33,079 ","34,006 ","34,872 ","35,671 ","36,396 ","37,081 ","37,843 ","38,777 ","39,930 ","41,354 ","43,065 ","44,943 ","46,907 ","48,959 ","51,034 ","53,133 ","55,282 ","57,351 ","59,395 ","62,024 ","65,050 ","68,201 ","71,459 ","74,375 ","77,001 ","79,553 ","82,508 ","85,787 ","89,160 ","92,794 ","89,954 ","87,293 ","85,971 ","84,398 ","84,694 ","85,025 ","85,674 ","86,383 ","86,998 ","88,037 ","88,811 ","90,196 ","91,204 ","92,580 ","95,727 ","99,501 ","104,029 ","109,268 ","113,114 ","117,380 ","121,556 ","127,332 ","133,210 ","138,733 ","144,685 ","150,349 ","155,184 ","160,571 ","164,964 ","169,183 ","173,073 ","177,336 ","181,613 ","185,448 ","188,862 ","191,713 ","193,855 ","194,842 ","194,064 ","193,326 ","193,708 ","195,509 ","198,892 ","203,984 ","210,886 ","218,911 ","227,661 ","236,840 ","245,665 ","254,136 "
84,"3,062 ","3,258 ","3,468 ","3,691 ","3,956 ","4,279 ","4,612 ","4,965 ","5,347 ","5,764 ","6,202 ","6,668 ","7,157 ","7,628 ","8,120 ","8,631 ","9,129 ","9,657 ","10,176 ","10,677 ","11,174 ","11,687 ","12,244 ","12,784 ","13,354 ","13,976 ","14,614 ","15,362 ","16,243 ","17,212 ","18,269 ","19,426 ","20,679 ","21,914 ","23,064 ","24,105 ","25,033 ","25,870 ","26,594 ","27,299 ","28,088 ","28,937 ","29,800 ","30,647 ","31,427 ","32,115 ","32,726 ","33,361 ","34,105 ","34,995 ","36,116 ","37,507 ","39,062 ","40,720 ","42,502 ","44,351 ","46,252 ","48,207 ","50,102 ","51,950 ","54,060 ","56,818 ","59,732 ","62,650 ","65,620 ","68,267 ","70,712 ","73,442 ","76,425 ","79,377 ","82,534 ","79,570 ","76,717 ","75,220 ","73,597 ","73,898 ","74,030 ","74,206 ","74,952 ","75,720 ","76,640 ","77,339 ","78,614 ","79,619 ","80,341 ","82,120 ","84,742 ","88,009 ","92,597 ","96,626 ","100,617 ","104,125 ","109,000 ","114,264 ","119,414 ","124,980 ","130,167 ","134,695 ","140,027 ","144,468 ","148,281 ","151,691 ","155,647 ","159,651 ","163,265 ","166,733 ","169,926 ","172,732 ","174,719 ","175,100 ","174,944 ","174,776 ","175,275 ","176,955 ","180,055 ","184,682 ","190,558 ","197,721 ","206,024 ","214,698 ","222,973 "
85,"2,411 ","2,572 ","2,744 ","2,927 ","3,144 ","3,406 ","3,678 ","3,966 ","4,280 ","4,627 ","4,992 ","5,386 ","5,805 ","6,214 ","6,642 ","7,089 ","7,524 ","7,984 ","8,442 ","8,896 ","9,357 ","9,831 ","10,343 ","10,839 ","11,339 ","11,867 ","12,383 ","12,971 ","13,661 ","14,416 ","15,247 ","16,187 ","17,248 ","18,352 ","19,430 ","20,457 ","21,403 ","22,245 ","22,956 ","23,600 ","24,311 ","25,064 ","25,840 ","26,616 ","27,371 ","28,035 ","28,613 ","29,176 ","29,799 ","30,502 ","31,380 ","32,485 ","33,744 ","35,098 ","36,588 ","38,179 ","39,852 ","41,605 ","43,312 ","44,994 ","46,901 ","49,152 ","51,795 ","54,475 ","57,121 ","59,806 ","62,251 ","64,862 ","67,609 ","70,271 ","73,023 ","69,936 ","67,038 ","65,349 ","63,633 ","63,754 ","63,899 ","63,906 ","64,237 ","65,018 ","66,019 ","66,626 ","67,785 ","68,703 ","69,420 ","70,565 ","71,979 ","74,216 ","77,599 ","81,077 ","85,151 ","88,411 ","92,555 ","96,972 ","101,528 ","106,674 ","111,478 ","115,579 ","120,516 ","124,900 ","128,723 ","131,757 ","135,216 ","138,897 ","142,238 ","145,468 ","148,676 ","151,732 ","154,295 ","155,591 ","156,468 ","156,797 ","156,803 ","157,280 ","158,822 ","161,611 ","165,409 ","170,589 ","177,381 ","185,171 ","193,232 "
86,"1,870 ","1,998 ","2,138 ","2,286 ","2,462 ","2,675 ","2,893 ","3,126 ","3,380 ","3,661 ","3,961 ","4,287 ","4,637 ","4,984 ","5,350 ","5,735 ","6,112 ","6,509 ","6,905 ","7,302 ","7,716 ","8,147 ","8,617 ","9,065 ","9,522 ","9,987 ","10,414 ","10,884 ","11,425 ","12,009 ","12,643 ","13,373 ","14,229 ","15,157 ","16,110 ","17,063 ","17,982 ","18,828 ","19,543 ","20,173 ","20,819 ","21,488 ","22,169 ","22,856 ","23,545 ","24,179 ","24,729 ","25,258 ","25,807 ","26,399 ","27,103 ","27,971 ","28,965 ","30,042 ","31,247 ","32,561 ","33,989 ","35,521 ","37,034 ","38,532 ","40,259 ","42,298 ","44,463 ","46,883 ","49,289 ","51,665 ","54,128 ","56,707 ","59,319 ","61,746 ","64,214 ","60,647 ","57,987 ","55,865 ","54,366 ","53,306 ","53,504 ","53,724 ","53,829 ","54,108 ","54,869 ","55,821 ","56,444 ","57,426 ","58,321 ","58,930 ","60,026 ","61,228 ","63,131 ","66,009 ","69,113 ","72,434 ","75,695 ","79,243 ","83,025 ","86,926 ","91,539 ","95,662 ","99,412 ","103,658 ","107,429 ","110,717 ","113,600 ","116,871 ","120,052 ","123,256 ","126,055 ","129,176 ","131,831 ","134,058 ","135,556 ","136,320 ","136,999 ","137,005 ","137,421 ","139,180 ","141,624 ","144,952 ","149,492 ","155,974 ","162,824 "
87,"1,426 ","1,528 ","1,638 ","1,756 ","1,898 ","2,068 ","2,242 ","2,427 ","2,630 ","2,855 ","3,096 ","3,360 ","3,646 ","3,933 ","4,240 ","4,565 ","4,886 ","5,227 ","5,565 ","5,904 ","6,263 ","6,648 ","7,069 ","7,472 ","7,883 ","8,296 ","8,669 ","9,059 ","9,492 ","9,936 ","10,417 ","10,970 ","11,631 ","12,369 ","13,161 ","13,993 ","14,836 ","15,649 ","16,360 ","16,984 ","17,606 ","18,211 ","18,812 ","19,408 ","20,008 ","20,581 ","21,098 ","21,603 ","22,109 ","22,631 ","23,224 ","23,923 ","24,699 ","25,537 ","26,483 ","27,532 ","28,699 ","29,991 ","31,299 ","32,615 ","34,152 ","35,997 ","37,944 ","39,909 ","42,067 ","44,210 ","46,375 ","48,943 ","51,498 ","53,779 ","56,019 ","52,598 ","49,593 ","47,660 ","45,837 ","44,921 ","44,126 ","44,371 ","44,638 ","44,725 ","45,043 ","45,766 ","46,652 ","47,173 ","48,092 ","48,842 ","49,456 ","50,376 ","51,385 ","52,982 ","55,517 ","58,002 ","61,193 ","63,948 ","66,946 ","70,141 ","73,607 ","77,513 ","81,198 ","84,382 ","87,986 ","91,186 ","94,210 ","96,909 ","99,699 ","102,683 ","105,424 ","108,112 ","110,788 ","113,065 ","115,302 ","116,590 ","117,596 ","118,182 ","118,187 ","118,910 ","120,432 ","122,547 ","125,427 ","129,817 ","135,446 "
88,"1,070 ","1,147 ","1,234 ","1,326 ","1,437 ","1,572 ","1,710 ","1,856 ","2,015 ","2,193 ","2,383 ","2,592 ","2,821 ","3,052 ","3,304 ","3,573 ","3,840 ","4,127 ","4,413 ","4,700 ","5,008 ","5,334 ","5,704 ","6,064 ","6,429 ","6,794 ","7,124 ","7,457 ","7,815 ","8,162 ","8,525 ","8,938 ","9,433 ","9,993 ","10,615 ","11,298 ","12,023 ","12,762 ","13,438 ","14,058 ","14,658 ","15,230 ","15,767 ","16,282 ","16,797 ","17,289 ","17,753 ","18,218 ","18,699 ","19,177 ","19,692 ","20,284 ","20,905 ","21,545 ","22,272 ","23,082 ","24,005 ","25,050 ","26,137 ","27,264 ","28,614 ","30,250 ","32,000 ","33,753 ","35,491 ","37,398 ","39,340 ","41,607 ","44,110 ","46,327 ","48,414 ","45,210 ","42,378 ","40,162 ","38,530 ","37,319 ","36,640 ","36,059 ","36,329 ","36,547 ","36,689 ","37,024 ","37,693 ","38,423 ","38,933 ","39,692 ","40,397 ","40,905 ","41,666 ","42,500 ","43,917 ","45,918 ","48,298 ","50,955 ","53,249 ","55,745 ","58,544 ","61,437 ","64,856 ","67,939 ","70,603 ","73,618 ","76,489 ","79,231 ","81,501 ","84,075 ","86,592 ","89,151 ","91,425 ","93,688 ","95,893 ","97,789 ","99,185 ","100,041 ","100,539 ","100,862 ","101,480 ","102,779 ","104,584 ","107,439 ","111,200 "
89,790 ,848 ,912 ,983 ,"1,069 ","1,173 ","1,281 ","1,395 ","1,519 ","1,656 ","1,804 ","1,967 ","2,146 ","2,329 ","2,529 ","2,746 ","2,964 ","3,200 ","3,438 ","3,679 ","3,935 ","4,209 ","4,524 ","4,832 ","5,152 ","5,472 ","5,765 ","6,051 ","6,356 ","6,637 ","6,916 ","7,220 ","7,588 ","8,003 ","8,471 ","9,000 ","9,586 ","10,212 ","10,820 ","11,403 ","11,983 ","12,528 ","13,026 ","13,482 ","13,922 ","14,334 ","14,722 ","15,139 ","15,577 ","16,023 ","16,490 ","17,007 ","17,530 ","18,028 ","18,577 ","19,188 ","19,892 ","20,709 ","21,575 ","22,501 ","23,654 ","25,088 ","26,633 ","28,194 ","29,730 ","31,251 ","32,964 ","34,991 ","37,189 ","39,345 ","41,358 ","38,459 ","35,853 ","33,780 ","31,958 ","30,878 ","29,963 ","29,473 ","29,061 ","29,279 ","29,512 ","29,686 ","30,017 ","30,560 ","31,218 ","31,632 ","32,318 ","32,893 ","33,306 ","33,925 ","34,682 ","35,759 ","37,644 ","39,595 ","41,773 ","43,655 ","45,811 ","48,111 ","50,614 ","53,430 ","55,971 ","58,165 ","60,806 ","63,345 ","65,615 ","67,682 ","69,819 ","72,115 ","74,247 ","76,140 ","78,258 ","80,100 ","81,942 ","83,111 ","83,828 ","84,521 ","84,792 ","85,312 ","86,404 ","88,261 ","90,671 "
90,572 ,615 ,663 ,715 ,780 ,859 ,941 ,"1,028 ","1,124 ","1,230 ","1,342 ","1,467 ","1,605 ","1,745 ","1,901 ","2,071 ","2,245 ","2,435 ","2,628 ","2,826 ","3,041 ","3,264 ","3,523 ","3,781 ","4,054 ","4,332 ","4,584 ","4,834 ","5,092 ","5,327 ","5,546 ","5,778 ","6,053 ","6,355 ","6,692 ","7,084 ","7,535 ","8,032 ","8,542 ","9,058 ","9,594 ","10,111 ","10,582 ","10,995 ","11,376 ","11,726 ","12,047 ","12,394 ","12,781 ","13,185 ","13,613 ","14,075 ","14,528 ","14,933 ","15,362 ","15,812 ","16,330 ","16,949 ","17,617 ","18,339 ","19,292 ","20,518 ","21,861 ","23,227 ","24,582 ","25,918 ","27,275 ","29,060 ","31,010 ","32,877 ","33,685 ","32,305 ","29,990 ","28,102 ","26,431 ","25,183 ","24,376 ","23,699 ","23,356 ","23,030 ","23,247 ","23,480 ","23,666 ","23,930 ","24,415 ","24,940 ","25,326 ","25,876 ","26,336 ","26,667 ","27,223 ","27,768 ","28,829 ","30,349 ","31,922 ","33,678 ","35,280 ","37,022 ","38,979 ","41,007 ","43,289 ","45,347 ","47,248 ","49,526 ","51,594 ","53,594 ","55,282 ","57,194 ","59,074 ","60,821 ","62,562 ","64,302 ","66,028 ","67,546 ","68,510 ","69,332 ","69,904 ","70,129 ","70,559 ","71,748 ","73,290 "
91,406 ,437 ,472 ,510 ,557 ,616 ,677 ,743 ,815 ,895 ,980 ,"1,074 ","1,178 ","1,285 ","1,403 ","1,533 ","1,667 ","1,816 ","1,969 ","2,128 ","2,305 ","2,485 ","2,699 ","2,908 ","3,131 ","3,363 ","3,578 ","3,790 ","4,011 ","4,208 ","4,391 ","4,572 ","4,775 ","4,997 ","5,236 ","5,517 ","5,846 ","6,222 ","6,622 ","7,052 ","7,520 ","7,987 ","8,420 ","8,809 ","9,150 ","9,447 ","9,717 ","9,999 ","10,322 ","10,671 ","11,059 ","11,475 ","11,872 ","12,225 ","12,564 ","12,905 ","13,281 ","13,733 ","14,224 ","14,769 ","15,523 ","16,539 ","17,679 ","18,858 ","20,030 ","21,197 ","22,382 ","23,815 ","25,513 ","27,153 ","26,718 ","25,845 ","24,746 ","23,089 ","21,598 ","20,457 ","19,527 ","18,937 ","18,446 ","18,179 ","17,960 ","18,166 ","18,385 ","18,531 ","18,777 ","19,157 ","19,612 ","19,916 ","20,348 ","20,710 ","21,017 ","21,408 ","21,988 ","22,828 ","24,032 ","25,277 ","26,733 ","28,005 ","29,463 ","31,020 ","32,634 ","34,450 ","36,183 ","37,802 ","39,624 ","41,396 ","43,001 ","44,486 ","46,025 ","47,538 ","49,095 ","50,501 ","52,076 ","53,473 ","54,702 ","55,672 ","56,340 ","56,805 ","56,987 ","57,573 ","58,544 "
92,282 ,305 ,329 ,357 ,391 ,433 ,477 ,525 ,578 ,638 ,701 ,771 ,848 ,927 ,"1,015 ","1,112 ","1,213 ","1,327 ","1,445 ","1,569 ","1,710 ","1,856 ","2,022 ","2,192 ","2,372 ","2,560 ","2,736 ","2,916 ","3,099 ","3,266 ","3,416 ","3,563 ","3,719 ","3,880 ","4,053 ","4,249 ","4,483 ","4,751 ","5,050 ","5,383 ","5,767 ","6,161 ","6,553 ","6,906 ","7,218 ","7,483 ","7,706 ","7,941 ","8,199 ","8,490 ","8,822 ","9,189 ","9,543 ","9,844 ","10,131 ","10,406 ","10,680 ","11,008 ","11,353 ","11,751 ","12,330 ","13,140 ","14,078 ","15,070 ","16,066 ","17,068 ","18,096 ","19,337 ","20,701 ","22,111 ","21,645 ","20,116 ","19,427 ","18,693 ","17,412 ","16,401 ","15,563 ","14,883 ","14,461 ","14,086 ","13,909 ","13,769 ","13,954 ","14,122 ","14,265 ","14,455 ","14,779 ","15,130 ","15,365 ","15,698 ","16,013 ","16,214 ","16,630 ","17,081 ","17,733 ","18,668 ","19,684 ","20,818 ","21,864 ","23,002 ","24,218 ","25,478 ","26,966 ","28,400 ","29,671 ","31,191 ","32,585 ","33,949 ","35,121 ","36,336 ","37,648 ","38,881 ","40,127 ","41,378 ","42,489 ","43,615 ","44,388 ","44,921 ","45,292 ","45,630 ","46,100 "
93,191 ,207 ,225 ,243 ,267 ,297 ,328 ,363 ,401 ,444 ,490 ,542 ,598 ,655 ,719 ,791 ,865 ,949 ,"1,037 ","1,131 ","1,239 ","1,357 ","1,484 ","1,619 ","1,761 ","1,907 ","2,051 ","2,194 ","2,345 ","2,485 ","2,612 ","2,724 ","2,850 ","2,974 ","3,096 ","3,233 ","3,395 ","3,585 ","3,791 ","4,036 ","4,329 ","4,649 ","4,977 ","5,284 ","5,570 ","5,806 ","6,003 ","6,193 ","6,405 ","6,641 ","6,910 ","7,219 ","7,526 ","7,794 ","8,039 ","8,259 ","8,478 ","8,714 ","8,956 ","9,231 ","9,666 ","10,296 ","11,042 ","11,848 ","12,676 ","13,518 ","14,388 ","15,456 ","16,626 ","17,741 ","17,266 ","15,975 ","14,823 ","14,385 ","13,819 ","12,959 ","12,229 ","11,625 ","11,138 ","10,822 ","10,561 ","10,449 ","10,364 ","10,504 ","10,653 ","10,760 ","10,927 ","11,172 ","11,438 ","11,615 ","11,893 ","12,105 ","12,342 ","12,658 ","13,001 ","13,498 ","14,244 ","15,019 ","15,924 ","16,724 ","17,595 ","18,525 ","19,540 ","20,738 ","21,841 ","22,884 ","24,055 ","25,206 ","26,261 ","27,168 ","28,195 ","29,214 ","30,271 ","31,241 ","32,215 ","33,194 ","34,075 ","34,679 ","35,095 ","35,538 ","35,804 "
94,127 ,137 ,149 ,163 ,179 ,199 ,221 ,245 ,272 ,302 ,335 ,371 ,412 ,453 ,498 ,550 ,603 ,664 ,728 ,797 ,882 ,968 ,"1,067 ","1,168 ","1,279 ","1,392 ","1,503 ","1,618 ","1,739 ","1,849 ","1,950 ","2,046 ","2,145 ","2,239 ","2,330 ","2,427 ","2,535 ","2,665 ","2,805 ","2,979 ","3,189 ","3,433 ","3,692 ","3,946 ","4,186 ","4,401 ","4,573 ","4,739 ","4,912 ","5,096 ","5,311 ","5,561 ","5,819 ","6,048 ","6,257 ","6,444 ","6,615 ","6,797 ","6,973 ","7,162 ","7,472 ","7,953 ","8,531 ","9,165 ","9,826 ","10,515 ","11,243 ","12,143 ","13,136 ","14,078 ","13,551 ","12,479 ","11,528 ","10,747 ","10,413 ","10,070 ","9,460 ","8,942 ","8,516 ","8,159 ","7,943 ","7,766 ","7,699 ","7,636 ","7,755 ","7,865 ","7,961 ","8,085 ","8,266 ","8,463 ","8,612 ","8,800 ","9,017 ","9,193 ","9,429 ","9,685 ","10,079 ","10,636 ","11,243 ","11,920 ","12,519 ","13,171 ","13,903 ","14,705 ","15,606 ","16,483 ","17,270 ","18,208 ","19,078 ","19,877 ","20,628 ","21,408 ","22,255 ","23,061 ","23,799 ","24,627 ","25,376 ","26,049 ","26,510 ","26,947 ","27,287 "
95,83 ,89 ,96 ,106 ,117 ,131 ,145 ,162 ,180 ,201 ,223 ,248 ,277 ,306 ,338 ,373 ,411 ,453 ,499 ,548 ,612 ,674 ,751 ,824 ,908 ,996 ,"1,078 ","1,162 ","1,258 ","1,344 ","1,424 ","1,501 ","1,579 ","1,654 ","1,720 ","1,794 ","1,865 ","1,954 ","2,047 ","2,163 ","2,311 ","2,482 ","2,677 ","2,873 ","3,068 ","3,248 ","3,400 ","3,540 ","3,688 ","3,835 ","4,007 ","4,202 ","4,404 ","4,595 ","4,771 ","4,924 ","5,070 ","5,211 ","5,340 ","5,473 ","5,696 ","6,054 ","6,494 ","6,977 ","7,488 ","8,037 ","8,623 ","9,366 ","10,189 ","10,978 ","10,504 ","9,582 ","8,810 ","8,176 ","7,611 ","7,421 ","7,189 ","6,765 ","6,406 ","6,101 ","5,856 ","5,711 ","5,595 ","5,546 ","5,512 ","5,598 ","5,689 ","5,759 ","5,848 ","5,979 ","6,134 ","6,230 ","6,407 ","6,566 ","6,694 ","6,866 ","7,068 ","7,356 ","7,782 ","8,226 ","8,721 ","9,160 ","9,661 ","10,225 ","10,815 ","11,510 ","12,156 ","12,774 ","13,468 ","14,112 ","14,748 ","15,305 ","15,937 ","16,567 ","17,167 ","17,778 ","18,396 ","18,955 ","19,458 ","19,892 ","20,219 "
96,53 ,57 ,61 ,66 ,74 ,84 ,93 ,103 ,116 ,130 ,145 ,162 ,181 ,201 ,223 ,247 ,273 ,302 ,333 ,368 ,413 ,460 ,515 ,570 ,629 ,693 ,757 ,817 ,889 ,954 ,"1,015 ","1,075 ","1,137 ","1,192 ","1,245 ","1,300 ","1,349 ","1,408 ","1,470 ","1,547 ","1,646 ","1,763 ","1,895 ","2,040 ","2,189 ","2,331 ","2,459 ","2,581 ","2,700 ","2,824 ","2,959 ","3,110 ","3,268 ","3,414 ","3,553 ","3,682 ","3,800 ","3,914 ","4,016 ","4,110 ","4,272 ","4,537 ","4,863 ","5,228 ","5,612 ","6,029 ","6,483 ","7,082 ","7,756 ","8,404 ","7,991 ","7,259 ","6,612 ","6,107 ","5,659 ","5,300 ","5,176 ","5,022 ","4,734 ","4,483 ","4,277 ","4,113 ","4,018 ","3,936 ","3,910 ","3,886 ","3,954 ","4,019 ","4,068 ","4,131 ","4,232 ","4,333 ","4,429 ","4,555 ","4,668 ","4,759 ","4,892 ","5,037 ","5,254 ","5,558 ","5,875 ","6,229 ","6,559 ","6,936 ","7,341 ","7,785 ","8,286 ","8,776 ","9,222 ","9,723 ","10,219 ","10,679 ","11,119 ","11,578 ","12,036 ","12,514 ","12,960 ","13,410 ","13,818 ","14,248 ","14,566 "
