Entidad,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Puebla,947,962,"1,144","1,213","1,219","1,407","1,665","1,874","1,051","1,156","1,381","1,188","1,109","1,369","1,522","1,652","1,775","1,776","1,877","1,833","1,899","1,951","2,132","2,203","2,206","2,342","2,429","2,892","3,100","3,207","2,919","2,651","3,916","4,313","3,971","1,848","4,072","5,295","4,270","6,127"
Querétaro,317,320,326,376,358,440,376,506,506,330,400,226,394,370,597,646,827,890,871,"1,004","1,144","1,339","1,384","1,487","1,327","1,498","1,614","1,623","2,113","2,237","2,654","2,767","3,240","2,866","2,725","2,839","3,180","3,296","3,008","4,168"
Quintana Roo,144,333,309,366,420,435,422,495,407,465,499,531,562,646,717,795,668,724,"1,000",921,994,"1,189","1,448","1,704","1,793","1,566","1,679","1,027","1,039","1,474","1,821","1,851","1,871","3,052","3,057","1,811","3,204","2,864","2,952","2,959"
San Luis Potosí,730,838,"1,070","1,047","1,016",936,948,862,338,426,512,522,598,726,800,755,906,996,958,986,"1,044","1,205","1,332","1,345","1,482","1,516","1,716","1,769","1,776","1,579","1,696","1,722","2,345","4,417","3,680","2,366","3,412","3,648","3,534","3,537"
Sinaloa,"1,115","1,552","1,774","1,816","1,712","1,798","1,846","1,821",988,"1,297","1,393","1,469","1,581","1,558","1,446","1,566","1,920","2,136","2,741","2,932","2,694","2,786","3,113","3,284","3,025","3,260","3,554","3,761","4,159","5,587","5,779","6,133","6,792","7,161","8,183","4,199","8,611","8,034","7,240","6,984"
Sonora,"1,112",960,"1,026","1,143","1,286","1,138","1,105","1,127","1,201","1,172","1,450","1,421","1,479","1,549","1,788","1,915","1,953","2,306","2,406","2,413","2,420","2,549","2,795","2,970","2,869","2,869","2,826","3,018","3,247","3,349","3,321","3,757","4,410","5,650","5,495","2,842","5,073","5,893","5,509","4,795"
Tabasco,942,"1,007","1,169","1,307","1,221","1,251","1,227","1,230",715,707,723,720,748,869,926,"1,003","1,108","1,171","1,300","1,360","1,298","1,479","1,371","1,714","1,849","1,589","1,700","1,815","1,551","1,694","1,705","1,715","1,612","1,720","2,038",815,"2,570","2,519","2,419","2,387"
Tamaulipas,"1,579","1,776","1,776","1,277","1,136","1,278","1,290","1,301","1,014","1,191","1,361","1,435","1,380","1,556","1,506","1,525","1,578","1,579","1,381","1,733","1,800","1,951","2,173","2,177","1,984","1,900","2,114","2,355","2,034","2,014","3,384","4,662","6,116","6,395","6,437","4,552","7,988","7,607","7,776","8,313"
Tlaxcala,157,159,176,188,252,323,374,319,129,144,151,117,120,111,103,145,140,159,140,98,128,176,245,341,298,313,401,452,487,558,558,667,630,734,761,530,965,"1,283","1,758","1,607"
Veracruz de Ignacio de la Llave,"2,531","2,557","2,993","3,015","3,001","3,050","3,177","3,315","1,659","1,835","2,097","2,217","2,418","2,809","2,830","3,022","3,163","3,206","3,290","3,474","3,324","3,473","3,718","4,070","4,032","4,022","4,441","4,605","4,853","4,266","4,407","4,461","3,942","3,909","3,351","1,957","3,698","4,409","4,786","5,215"
Yucatán,"1,218","1,288","1,501","1,569","1,477","1,435","1,383","1,817","1,007","1,068","1,093","1,017","1,133","1,136","1,180","1,331","1,334","1,461","1,807","2,544","2,291","2,034","2,169","2,350","2,279","2,055","2,460","2,476","1,923","1,792","2,676","2,303","2,453","2,433","2,564","1,214","2,833","2,788","2,657","2,825"
Zacatecas,439,467,446,572,709,722,908,"1,024",400,416,544,522,591,638,714,805,796,857,873,"1,025","1,074","1,187","1,254","1,241","1,415","1,438","1,484","1,802","1,836","1,868","1,888","2,043","2,397","2,255","2,610","1,578","2,554","2,614","2,602","2,338"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
