"Notes"	"County"	"County Code"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	"Year"	"Year Code"	"Gender"	"Gender Code"	Deaths	Population	Crude Rate	% of Total Deaths
	"Apache County, AZ"	"04001"	"1-4 years"	"1-4"	"2012"	"2012"	"Male"	"M"	0	2455	Unreliable	0.0000%
	"Apache County, AZ"	"04001"	"1-4 years"	"1-4"	"2013"	"2013"	"Female"	"F"	0	2276	Unreliable	0.0000%
	"Apache County, AZ"	"04001"	"1-4 years"	"1-4"	"2013"	"2013"	"Male"	"M"	0	2287	Unreliable	0.0000%
	"Apache County, AZ"	"04001"	"1-4 years"	"1-4"	"2014"	"2014"	"Female"	"F"	0	2225	Unreliable	0.0000%
	"Apache County, AZ"	"04001"	"1-4 years"	"1-4"	"2014"	"2014"	"Male"	"M"	0	2253	Unreliable	0.0000%
	"Apache County, AZ"	"04001"	"1-4 years"	"1-4"	"2015"	"2015"	"Female"	"F"	0	2166	Unreliable	0.0000%
	"Apache County, AZ"	"04001"	"1-4 years"	"1-4"	"2015"	"2015"	"Male"	"M"	0	2179	Unreliable	0.0000%
	"Apache County, AZ"	"04001"	"1-4 years"	"1-4"	"2016"	"2016"	"Female"	"F"	0	2023	Unreliable	0.0000%
	"Apache County, AZ"	"04001"	"1-4 years"	"1-4"	"2016"	"2016"	"Male"	"M"	0	2025	Unreliable	0.0000%
	"Apache County, AZ"	"04001"	"1-4 years"	"1-4"	"2017"	"2017"	"Female"	"F"	0	1960	Unreliable	0.0000%
	"Apache County, AZ"	"04001"	"1-4 years"	"1-4"	"2017"	"2017"	"Male"	"M"	0	1955	Unreliable	0.0000%
	"Apache County, AZ"	"04001"	"1-4 years"	"1-4"	"2018"	"2018"	"Female"	"F"	0	1958	Unreliable	0.0000%
	"Apache County, AZ"	"04001"	"1-4 years"	"1-4"	"2018"	"2018"	"Male"	"M"	0	1880	Unreliable	0.0000%
	"Apache County, AZ"	"04001"	"1-4 years"	"1-4"	"2019"	"2019"	"Female"	"F"	0	1955	Unreliable	0.0000%
	"Apache County, AZ"	"04001"	"1-4 years"	"1-4"	"2019"	"2019"	"Male"	"M"	0	1942	Unreliable	0.0000%
	"Apache County, AZ"	"04001"	"1-4 years"	"1-4"	"2020 "	"2020"	"Female"	"F"	0	1826	Unreliable	0.0000%
	"Apache County, AZ"	"04001"	"1-4 years"	"1-4"	"2020 "	"2020"	"Male"	"M"	0	1876	Unreliable	0.0000%
	"Apache County, AZ"	"04001"	"5-9 years"	"5-9"	"1999"	"1999"	"Female"	"F"	0	3896	Unreliable	0.0000%
	"Apache County, AZ"	"04001"	"5-9 years"	"5-9"	"1999"	"1999"	"Male"	"M"	0	4091	Unreliable	0.0000%
	"Apache County, AZ"	"04001"	"5-9 years"	"5-9"	"2000"	"2000"	"Female"	"F"	0	3713	Unreliable	0.0000%
	"Apache County, AZ"	"04001"	"5-9 years"	"5-9"	"2000"	"2000"	"Male"	"M"	0	3890	Unreliable	0.0000%
	"Apache County, AZ"	"04001"	"5-9 years"	"5-9"	"2001"	"2001"	"Female"	"F"	0	3387	Unreliable	0.0000%
	"Apache County, AZ"	"04001"	"5-9 years"	"5-9"	"2001"	"2001"	"Male"	"M"	0	3576	Unreliable	0.0000%
	"Apache County, AZ"	"04001"	"5-9 years"	"5-9"	"2002"	"2002"	"Female"	"F"	0	3134	Unreliable	0.0000%
	"Apache County, AZ"	"04001"	"5-9 years"	"5-9"	"2002"	"2002"	"Male"	"M"	0	3325	Unreliable	0.0000%
	"Apache County, AZ"	"04001"	"5-9 years"	"5-9"	"2003"	"2003"	"Female"	"F"	0	3041	Unreliable	0.0000%
	"Apache County, AZ"	"04001"	"5-9 years"	"5-9"	"2004"	"2004"	"Female"	"F"	0	2935	Unreliable	0.0000%
	"Apache County, AZ"	"04001"	"5-9 years"	"5-9"	"2004"	"2004"	"Male"	"M"	0	3030	Unreliable	0.0000%
	"Apache County, AZ"	"04001"	"5-9 years"	"5-9"	"2005"	"2005"	"Female"	"F"	0	2860	Unreliable	0.0000%
	"Apache County, AZ"	"04001"	"5-9 years"	"5-9"	"2005"	"2005"	"Male"	"M"	0	3009	Unreliable	0.0000%
	"Apache County, AZ"	"04001"	"5-9 years"	"5-9"	"2006"	"2006"	"Female"	"F"	0	2847	Unreliable	0.0000%
	"Apache County, AZ"	"04001"	"5-9 years"	"5-9"	"2006"	"2006"	"Male"	"M"	0	3031	Unreliable	0.0000%
	"Apache County, AZ"	"04001"	"5-9 years"	"5-9"	"2007"	"2007"	"Female"	"F"	0	2792	Unreliable	0.0000%
	"Apache County, AZ"	"04001"	"5-9 years"	"5-9"	"2007"	"2007"	"Male"	"M"	0	2951	Unreliable	0.0000%
	"Apache County, AZ"	"04001"	"5-9 years"	"5-9"	"2008"	"2008"	"Female"	"F"	0	2793	Unreliable	0.0000%
	"Apache County, AZ"	"04001"	"5-9 years"	"5-9"	"2008"	"2008"	"Male"	"M"	0	2920	Unreliable	0.0000%
	"Apache County, AZ"	"04001"	"5-9 years"	"5-9"	"2009"	"2009"	"Female"	"F"	0	2933	Unreliable	0.0000%
	"Apache County, AZ"	"04001"	"5-9 years"	"5-9"	"2009"	"2009"	"Male"	"M"	0	3000	Unreliable	0.0000%
	"Apache County, AZ"	"04001"	"5-9 years"	"5-9"	"2010"	"2010"	"Female"	"F"	0	3013	Unreliable	0.0000%
	"Apache County, AZ"	"04001"	"5-9 years"	"5-9"	"2010"	"2010"	"Male"	"M"	0	3009	Unreliable	0.0000%
	"Apache County, AZ"	"04001"	"5-9 years"	"5-9"	"2011"	"2011"	"Female"	"F"	0	3103	Unreliable	0.0000%
	"Apache County, AZ"	"04001"	"5-9 years"	"5-9"	"2011"	"2011"	"Male"	"M"	0	3145	Unreliable	0.0000%
