x,est
1,0.006722756326500341
2,0.007125712382304339
3,0.004041437238703164
4,0.007463701063072026
5,0.005226936999826789
6,0.008661353602531813
7,0.004763808539358243
8,0.006433346631425588
9,0.005601165718315937
10,0.006713937335059769
11,0.006789629914682868
12,0.007473837303419662
13,0.005617338409263565
14,0.007306840307378622
15,0.004669869098394866
16,0.008943389693643312
17,0.006785314751220041
18,0.005829613195032853
19,0.004520272751586798
20,0.005606667567984153
21,0.006128663700747683
22,0.007502796250085316
23,0.0046468414219354775
24,0.007594476952588239
25,0.0056478363293029086
26,0.006501585367505257
27,0.008785540442375873
28,0.006306016398597506
29,0.005557293958305504
30,0.005890939232533895
31,0.004497236483583493
32,0.007625665293355402
33,0.0030281607095897344
34,0.004674142222185343
35,0.006315999466592295
36,0.008015309539914606
37,0.00906971126042074
38,0.007716726153112676
39,0.007933390956324964
40,0.005348223935089447
41,0.0062617397725469775
42,0.007544181961984279
43,0.008099185845189124
44,0.006463421750330169
45,0.005420880526036036
46,0.007701354339958271
47,0.0081262252424793
48,0.009753715866893383
49,0.007310377906171467
50,0.006991803447144636
51,0.004853365980892936
52,0.009666069377177386
53,0.006365001289927092
54,0.005506478578797691
55,0.006148630817750879
56,0.006027346880000183
57,0.005328965477897493
58,0.005930744401416911
59,0.005835930837263277
60,0.007875757906391691
61,0.008060506544067772
62,0.007850475496770787
63,0.0076481002317007095
64,0.006945400483761359
65,0.00542211184113749
66,0.00834972233740004
67,0.007559856239940435
68,0.007100242573959879
69,0.007844746293702706
70,0.004262035036584354
71,0.0075347995647794454
72,0.0059927163761642616
73,0.00462811594355201
74,0.005734026656719309
75,0.004940455724882579
76,0.004828142252915906
77,0.009101399840515107
78,0.005982895009048778
79,0.008360916714823917
80,0.008231140618101861
81,0.008021140494735216
82,0.006129649178227977
83,0.006421672048621463
84,0.0069150100186956874
85,0.007428332857283877
86,0.003776874123272316
87,0.007140952959412656
88,0.0062607014579761115
89,0.005702112346330039
90,0.008766225759029737
91,0.0074852802261387245
92,0.006578725774893912
93,0.010402665872075481
94,0.004603037845810167
95,0.005123820635896253
96,0.0071578652498296555
97,0.006409403456045111
98,0.006512455240912368
99,0.006197678441769404
100,0.004632506686302054
101,0.00735491121211061
102,0.006057452052527824
103,0.006314312744907045
104,0.0056439739268227115
105,0.005664414832777174
106,0.00856682543053841
107,0.0038090522137145385
108,0.006130535878534915
109,0.00961861028280521
110,0.006799611892963597
111,0.007532521094729855
112,0.006313626118897521
113,0.006218953348252052
114,0.006240390252365455
115,0.007782411420584244
116,0.006790256063476052
117,0.008505946811636298
118,0.00935972465487133
119,0.007552088334996607
120,0.005906763765818151
121,0.008823810120931355
122,0.007564647039398914
123,0.0075659783406482745
124,0.006079884974304245
125,0.005191678696345377
126,0.006211232459203835
127,0.007538293420908096
128,0.00793139917188565
129,0.005643157685101822
130,0.007003503446932126
131,0.0039413364781966205
132,0.00740889917515884
133,0.007826435837405648
134,0.008347961129980987
135,0.007039096342436204
136,0.0061983325256977015
137,0.0062142166493702345
138,0.0072864949281735685
139,0.006526166071318469
140,0.008348525751226788
141,0.005580874298298049
142,0.009670501142927864
143,0.005428297919711194
144,0.007375927138045458
145,0.007382886231371671
146,0.006027534269811099
147,0.005832040651685655
148,0.006040682940340397
149,0.00553965582154286
150,0.006467476334855073
151,0.006940144839604898
152,0.006607884036437552
153,0.005558890496774594
154,0.004264405075103604
155,0.004840058579990916
156,0.0048507571004049515
157,0.0057442030322903785
158,0.005497028214358094
159,0.007466103968700417
160,0.006024353865414588
161,0.0062276994212822024
162,0.006980287046852293
163,0.008637543691336165
164,0.003255681615833499
165,0.005804771825260968
166,0.0076812160502105
167,0.00540590172435764
